Country,Area,Municipio,x,y
Guatemala,Sacatepéquez, Antigua Guatemala,-90.73444,14.56111
Guatemala,Santa Rosa, Barberena,-90.36111,14.30944
Guatemala,Santa Rosa, Casillas,-90.35582635,14.15303318
Guatemala,San Marcos, Catarina,-91.93149829,15.01956398
Guatemala,Santa Rosa, Chiquimulilla,-90.35582635,14.15303318
Guatemala,Sacatepéquez, Ciudad Vieja,-90.7455508,14.55447496
Guatemala,San Marcos, Comitancillo,-91.93149829,15.01956398
Guatemala,Sololá, Concepción,-91.18087067,14.61938007
Guatemala,San Marcos, Concepción Tutuapa,-92.08333,14.83333
Guatemala,Santa Rosa, Cuilapa,-90.35582635,14.15303318
Guatemala,Suchitepéquez, Cuyotenango,-91.43999229,14.47065294
Guatemala,San Marcos, El Quetzal,-91.93149829,15.01956398
Guatemala,San Marcos, El Tumbador,-91.93149829,15.01956398
Guatemala,San Marcos, Esquipulas Palo Gordo,-91.93149829,15.01956398
Guatemala,Zacapa, Estanzuela,-89.50799435,15.03882573
Guatemala,Zacapa, Gualán,-89.50799435,15.03882573
Guatemala,Santa Rosa, Guazacapán,-90.35582635,14.15303318
Guatemala,Zacapa, Huité,-89.50799435,15.03882573
Guatemala,San Marcos, Ixchiguán,-91.88333,15.2
Guatemala,Sacatepéquez, Jocotenango,-90.7455508,14.55447496
Guatemala,San Marcos, La Blanca,-91.93149829,15.01956398
Guatemala,San Marcos, La Reforma,-91.93149829,15.01956398
Guatemala,Zacapa, La Unión,-89.50799435,15.03882573
Guatemala,Sacatepéquez, Magdalena Milpas Altas,-90.7455508,14.55447496
Guatemala,San Marcos, Malacatán,-92.05,14.9
Guatemala,Suchitepéquez, Mazatenango,-91.5,14.53333
Guatemala,Sololá, Nahualá,-91.18087067,14.61938007
Guatemala,Santa Rosa, Nueva Santa Rosa,-90.35582635,14.15303318
Guatemala,San Marcos, Nuevo Progreso,-91.93149829,15.01956398
Guatemala,San Marcos, Ocós,-91.93149829,15.01956398
Guatemala,Santa Rosa, Oratorio,-90.35582635,14.15303318
Guatemala,San Marcos, Pajapita,-91.93149829,15.01956398
Guatemala,Sololá, Panajachel,-91.18087067,14.61938007
Guatemala,Sacatepéquez, Pastores,-90.7455508,14.55447496
Guatemala,Suchitepéquez, Patulul,-91.43999229,14.47065294
Guatemala,Suchitepéquez, Pueblo Nuevo,-91.43999229,14.47065294
Guatemala,Santa Rosa, Pueblo Nuevo Viñas,-90.35582635,14.15303318
Guatemala,San Marcos, Río Blanco,-91.68333,15.03333
Guatemala,Suchitepéquez, Río Bravo,-91.43999229,14.47065294
Guatemala,Zacapa, Río Hondo,-89.58333,15.06667
Guatemala,Suchitepéquez, Samayac,-91.43999229,14.47065294
Guatemala,Sololá, San Andrés Semetabaj,-91.18087067,14.61938007
Guatemala,Totonicapán, San Andrés Xecul,-91.37720939,15.01555946
Guatemala,Sacatepéquez, San Antonio Aguas Calientes,-90.76944,14.53972
Guatemala,Sololá, San Antonio Palopó,-90.49101984,14.65333396
Guatemala,San Marcos, San Antonio Sacatepéquez,-91.93149829,15.01956398
Guatemala,Suchitepéquez, San Antonio Suchitepéquez,-91.43999229,14.47065294
Guatemala,Totonicapán, San Bartolo,-91.37720939,15.01555946
Guatemala,Sacatepéquez, San Bartolomé Milpas Altas,-90.7455508,14.55447496
Guatemala,Suchitepéquez, San Bernardino,-91.43999229,14.47065294
Guatemala,San Marcos, San Cristóbal Cucho,-91.93149829,15.01956398
Guatemala,Totonicapán, San Cristóbal Totonicapán,-91.36667,14.91667
Guatemala,Zacapa, San Diego,-89.50799435,15.03882573
Guatemala,Totonicapán, San Francisco El Alto,-91.45,14.95
Guatemala,Suchitepéquez, San Francisco Zapotitlán,-91.43999229,14.47065294
Guatemala,Suchitepéquez, San Gabriel,-91.43999229,14.47065294
Guatemala,Zacapa, San Jorge,-89.50799435,15.03882573
Guatemala,Sololá, San José Chcayá,-91.18087067,14.61938007
Guatemala,Suchitepéquez, San José El Idolo,-91.43999229,14.47065294
Guatemala,San Marcos, San José El Rodeo,-91.93149829,15.01956398
Guatemala,Suchitepéquez, San José La Máquina,-91.58333,14.38333
Guatemala,San Marcos, San José Ojetenam,-91.96667,15.21667
Guatemala,Suchitepéquez, San Juan Bautista,-91.43999229,14.47065294
Guatemala,Sololá, San Juan La laguna,-91.18087067,14.61938007
Guatemala,Santa Rosa, San Juan Tecuaco,-90.35582635,14.15303318
Guatemala,Suchitepéquez, San Lorenzo,-91.43999229,14.47065294
Guatemala,San Marcos, San Lorenzo,-91.93149829,15.01956398
Guatemala,Sacatepéquez, San Lucas Sacatepéquez,-90.7455508,14.55447496
Guatemala,Sololá, San Lucas Tolimán,-91.13333,14.63333
Guatemala,San Marcos, San Marcos,-91.8,14.96667
Guatemala,Sololá, San Marcos La Laguna,-89.68333,14.6
Guatemala,Sacatepéquez, San Miguel Dueñas,-90.7455508,14.55447496
Guatemala,San Marcos, San Miguel Ixtahuacán,-91.71667,14.96667
Guatemala,Suchitepéquez, San Miguel Panán,-91.36667,14.53333
Guatemala,San Marcos, San Pablo,-91.93149829,15.01956398
Guatemala,Suchitepéquez, San Pablo Jocopilas,-91.45,14.58333
Guatemala,Sololá, San Pablo La Laguna,-91.26667,14.71667
Guatemala,Sololá, San Pedro La Laguna,-91.35,14.53333
Guatemala,San Marcos, San Pedro Sacatepéquez,-91.76667,14.96667
Guatemala,Santa Rosa, San Rafael Las Flores,-90.38889,13.92917
Guatemala,San Marcos, San Rafael Pie de la Cuesta,-91.93149829,15.01956398
Guatemala,Suchitepéquez, Santa Bárbara,-91.43999229,14.47065294
Guatemala,Sacatepéquez, Santa Catarina Barahona,-90.72586133,14.56793012
Guatemala,Sololá, Santa Catarina Ixtahuacán,-90.581461,14.32533631
Guatemala,Sololá, Santa Catarina Palopó,-91.13333,14.71667
Guatemala,Sololá, Santa Clara La Laguna,-91.76667,14.4
Guatemala,Santa Rosa, Santa Cruz Naranjo,-90.35582635,14.15303318
Guatemala,Totonicapán, Santa Lucía La Reforma,-91.37720939,15.01555946
Guatemala,Sacatepéquez, Santa Lucía Milpas Altas,-90.7455508,14.55447496
Guatemala,Sololá, Santa Lucía Utatlán,-91.48333,14.46667
Guatemala,Totonicapán, Santa María Chiquimula,-91.32917,15.03028
Guatemala,Sacatepéquez, Santa María de Jesús,-90.72667,14.51833
